shopId,shopName,shopLatitude,shopLongitude,SDAddress,SDCategory,SDConsumption,SDTelephone,SDRate,SDDeliciousRate,SDServiceRate,SDEnvRate,SDRateCount,SDWatchCount,SDBookmarkCount,shopUrl
1166627,原來豆花,24.7604119,121.751904,宜蘭縣宜蘭市舊城北路171-2號,剉冰、豆花,NULL,03-935-5158,0,0,0,0,4,4428,17,http://www.ipeen.com.tw/shop/1166627
66004,香香魯肉飯,24.75417601515,121.74703400512,宜蘭縣宜蘭市泰山路29號,其他小吃,25,039-331586,25,0,0,5,1,6845,0,http://www.ipeen.com.tw/shop/66004
1149266,三星飛蛋雞地,24.83879971732,121.79060430814,宜蘭縣頭城鎮北宜路一段5號,碗粿,55,03-988-6600,50,20,20,20,2,2818,8,http://www.ipeen.com.tw/shop/1149266
1161932,BLACK-HOUSE-CAFE-黑宅咖啡,24.84446630554,121.80740740108,宜蘭縣頭城鎮三和路616巷235弄47號,下午茶,NULL,03-988-7966,45,15,15,15,3,3206,18,http://www.ipeen.com.tw/shop/1161932
618934,霧語輕食坊,24.72315701464,121.76760601161,宜蘭縣宜蘭市縣政十二街2號,複合式,275,03-925-6286,0,0,0,0,2,1370577,16,http://www.ipeen.com.tw/shop/618934
600110,小熊屋洋食坊,24.744836015409998,121.74628501799,宜蘭縣宜蘭市女中路三段61號,法式料理,223,03-931-1123,0,0,0,0,4,7742,8,http://www.ipeen.com.tw/shop/600110
1059448,白色廚房-Une-cuisine-blanche,24.75015810363,121.75112911841,宜蘭縣宜蘭市神農路二段16巷11號,西點烘焙、麵包,NULL,0963-872-842,0,0,0,0,2,3364,15,http://www.ipeen.com.tw/shop/1059448
1067152,蘭城窄巷-small-house-18,24.75920000854,121.75205811924,宜蘭縣宜蘭市城隍街18號,義式料理,NULL,03-932-5534,0,0,0,0,2,4499,15,http://www.ipeen.com.tw/shop/1067152
1050786,黑白創食堂-跨界時尚餐飲,24.850006019400002,121.81662801751999,宜蘭縣頭城鎮青雲路二段730號,台菜餐廳,430,03-977-0665,0,0,0,0,10,6648,10,http://www.ipeen.com.tw/shop/1050786
1024652,黃金牛牛肉麵,24.69299050743,121.77300271536001,宜蘭縣五結鄉中興路三段58號,其他小吃,NULL,None,0,0,0,0,2,3769,13,http://www.ipeen.com.tw/shop/1024652
1065318,奇異鳥咖啡-Le-KIWI-Café,24.73769840955,121.75525460043,宜蘭縣宜蘭市公園路99號,咖啡專賣,234,03-925-3348,0,0,0,0,2,6957,12,http://www.ipeen.com.tw/shop/1065318
1022212,宜蘭調查站紅豆餅,24.76742651683,121.75397880617,宜蘭縣宜蘭市津梅路52號,其他美食,30,0939-224-250,0,0,0,0,1,8353,23,http://www.ipeen.com.tw/shop/1022212
31757,東南蜜餞舖,24.759564010000002,121.75030700509001,宜蘭縣宜蘭市城隍街90號,休閒零食,318,03-932-3363,0,0,0,0,4,13725,5,http://www.ipeen.com.tw/shop/31757
31860,太媽羊肉羹專賣店,24.684858004899997,121.79706500802,宜蘭縣五結鄉五結路二段438號,其他小吃,53,03-960-3342,0,0,0,0,2,20610,8,http://www.ipeen.com.tw/shop/31860
